sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,monthly_mean_quantity,monthly_std_quantity,demand_cv,monthly_nonzero_periods,xyz_low_sample_flag,xyz_frequency,abc_xyz_frequency,xyz_volatility,abc_xyz_volatility,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
2100123087,Chảo chiên Tefal Light & Clean 26cm,CW,105.0,0.00037273069183280436,0.9762502081519898,C,2,9.618159084351255e-05,0.994902375685291,15.0,39.68626966596886,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,5.181750000000001,6,210,0.008225000000000001,1.0,6.0
2100124435,"Quánh Inox cao cấp có nắp Tefal Cook Eat B9212274, 16cm",CW,91.75,0.00032569562833961713,0.9786702952868186,C,7,0.0003366355679522939,0.969654708088872,13.107142857142858,34.239310114879025,2.612263442007119,2,0,Z,CZ,Z,CZ,0,3.9006239999999996,4,168,0.010716,1.2,4.8
4200009017,Quạt đứng ASIAVINA TURBO PLUS - VY639791 - Xám,Fan,90.0,0.00031948345014240373,0.9793128120032161,C,4,0.0001923631816870251,0.9829277676252763,12.857142857142858,31.45064160144999,2.4461610134461105,2,0,Z,CZ,Z,CZ,0,4.673625,3,36,0.05192916666666667,5.600000000000001,16.8
2100136188,"Nồi Inox cao cấp cán dài Tefal Duetto Plus, 16cm",CW,89.75,0.0003185959961142304,0.9796314079993304,C,17,0.0008175435221698567,0.9283928056170054,12.821428571428571,33.48342695950313,2.611520765643698,2,0,Z,CZ,Z,CZ,0,1.9886160000000002,4,320,0.005586000000000001,0.75,3.0
7211004311,"Máy xay sinh tố Tefal Blendeo+ BL2C0130 - 450W, 1.25L",SDA,82.0,0.0002910849212408567,0.9811868190927087,C,4,0.0001923631816870251,0.9846590362604596,11.714285714285714,30.114859486717883,2.5707806878905513,3,0,Z,CZ,Z,CZ,0,1.7445959999999998,3,72,0.020769,2.163333333333334,6.49
2100140776,"Chảo Inox cao cấp Professional Tefal B9210595, 26cm",CW,80.25,0.0002848727430436433,0.9814716918357523,C,16,0.0007694527267481004,0.9322881600461678,11.464285714285714,30.331648958990485,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,2.2149,4,224,0.006900000000000001,1.0,4.0
2100127352,Nồi cán dài/ quánh Tefal Primary 18cm,CW,80.25,0.0002848727430436433,0.981756564578796,C,13,0.0006251803404828316,0.949216120034626,11.464285714285714,19.319910159507174,1.6852258083059217,3,0,Z,CZ,Z,CZ,0,2.038725,4,168,0.0087125,1.375,5.5
2100129889,"Chảo Inox cao cấp Professional Tefal B9210655, 28cm",CW,78.5,0.0002786605648464299,0.9823183229786296,C,16,0.0007694527267481004,0.9315187073194197,11.214285714285714,29.23162833709568,2.606642017320634,2,0,Z,CZ,Z,CZ,0,2.362045,4,224,0.007595,1.0,4.0
2100136851,"Chảo chiên chống dính Tefal Flavor Force E2770274, 20cm",CW,74.66666666666667,0.00026505293641443866,0.9831220605101453,C,15,0.0007213619313263442,0.9388765990189483,10.666666666666668,28.2213473180223,2.6457513110645903,1,0,Z,CZ,Z,CZ,0,2.0882773333333335,6,330,0.004661333333333334,0.8333333333333334,5.0
4200006855,Quạt lửng ASIAvina - A16018-XV0 - xám,Fan,73.0,0.00025913657622661637,0.983381197086372,C,1,4.8090795421756275e-05,0.9997595460228894,10.428571428571429,27.591406529673588,2.6457513110645907,1,0,Z,CZ,Z,CZ,0,2.635884,4,48,0.036108,4.125,16.5
1830009516,Bàn ủi hơi nước đứng Tefal IXEO Vision QT1811E0,SDA,72.0,0.000255586760113923,0.9836367838464859,C,23,0.0011060882947003944,0.9012695969991349,10.285714285714286,27.21344205666436,2.6457513110645903,1,0,Z,CZ,Z,CZ,0,11.664000000000001,1,12,0.162,19.0,19.0
