sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
2100118818,71,89,0,160,0.0,0.44375,0.55625,3.3890625,8.6625,4,196,0.007177500000000001,0.975,3.9,0,C,X,160,542.25,0.552811714756087
2100118819,61,125,0,186,0.0,0.3279569892473118,0.6720430107526881,2.9086021505376345,7.967741935483871,4,196,0.0080135,1.1,4.4,0,C,X,186,541.0,0.6172005121836158
2100118820,2,12,0,14,0.0,0.14285714285714285,0.8571428571428571,2.7142857142857144,6.857142857142857,4,196,0.00966,1.375,5.5,0,C,Z,14,38.0,0.7440140946769488
2100118827,7,0,1,8,0.125,0.875,0.0,17.25,25.5,1,56,0.035343,5.0,5.0,1,C,Z,8,138.0,2.7221211333506625
2100118828,5,0,1,6,0.16666666666666666,0.8333333333333334,0.0,23.333333333333332,30.0,1,40,0.04680500000000001,6.0,6.0,1,C,Z,6,140.0,3.6049254349228366
2100119195,0,1,0,1,0.0,0.0,1.0,2.0,6.0,6,420,0.002236,0.6666666666666666,4.0,0,C,Z,1,2.0,0.17221692709085484
2100119880,0,2,0,2,0.0,0.0,1.0,1.1666666666666665,6.0,6,,0.00308,0.6666666666666666,4.0,0,C,Z,2,2.333333333333333,0.237221885259317
2100119885,2,0,0,2,0.0,1.0,0.0,7.0,12.0,1,,0.077616,5.0,5.0,1,C,Z,2,14.0,5.977991508534789
2100120058,2,3,0,5,0.0,0.4,0.6,2.75,8.4,4,192,0.011424,1.0,4.0,0,C,Z,5,13.75,0.8798775380527395
2100120060,0,3,0,3,0.0,0.0,1.0,1.6666666666666667,6.0,4,100,0.015903,1.75,7.0,0,C,Z,3,5.0,1.2248505328827657
